PC,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Forbs,Grasses,Mix,CTL,Tap,Forbs_1,Forbs_2,Forbs_3,Forbs_4,Forbs_5,Forbs_6,Forbs_7,Forbs_8,Forbs_9,Forbs_10,Grasses_1,Grasses_2,Grasses_3,Grasses_4,Grasses_5,Grasses_6,Grasses_7,Grasses_8,Grasses_9,Grasses_10,CTL_1,CTL_2,CTL_3,CTL_4,CTL_5,CTL_6,CTL_7,CTL_8,CTL_9,CTL_10,Tap_1,Tap_2,Tap_3,Tap_4,Tap_5
79,266.1068401,266.0999171,266.1071516,609.0183927,608.5775531,616.9640048,14,0,10,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12744.72152,48456.80417,33832.83072,35360.47623,84582.7607,82945.70619,22042.96767,36730.75,43124.8135,46687.1753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.3062857,NA,NA,NA
80,193.0902617,193.0898562,193.0913157,813.024401,812.5455242,817.0410466,15,6,3,3,1,1,1571.086364,NA,24301.16417,NA,NA,25560.09742,NA,16647.2592,35931.13636,36704.90781,NA,NA,NA,42622.64918,NA,NA,NA,901.9671429,3750.977273,NA,NA,NA,34691.04104,NA,NA,NA,NA,NA,NA,NA,NA,155095.512,NA,NA,NA
81,116.9283632,116.927984,116.9287539,947.4754007,947.0409306,948.8596239,21,5,8,2,4,2,NA,81876.74663,NA,NA,79228.68977,73627.58979,69442.90431,NA,NA,70543.78714,126474.307,76593.65923,91408.58477,97065.11857,NA,73324.94667,NA,84592.6224,74364.586,60355.8384,83399.6592,NA,83228.93931,85658.04369,NA,NA,NA,78428.53168,NA,NA,NA,184490.1362,91348.13636,NA,NA
82,150.0017134,150.0005709,150.0023564,714.910934,714.7627797,715.202932,11,5,3,1,2,0,NA,3405.5952,3717.096667,1305.93375,13789.63938,NA,NA,NA,NA,1757.634,NA,NA,NA,NA,7388.890952,8748.8544,NA,NA,NA,7589.31419,6755.89113,NA,NA,4587.334737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,713.3269619,713.3256613,713.3286049,633.3838181,632.9449208,633.8082698,34,10,10,4,10,0,84015.15104,75471.01762,65653.71086,90916.64819,61982.25914,64146.17273,49016.554,278483.2847,140966.7364,87621.90887,44474.05381,42471.19419,37223.12543,42217.7184,26472.3888,32101.4265,30893.488,38461.888,28490.98695,57126.73182,38574.9936,36518.66364,85302.73957,35973.69091,37127.62526,42035.65455,59787.0967,66652.43117,43994.18536,54898.80771,NA,NA,NA,NA,NA
84,242.139396,242.1387659,242.1399887,580.7734609,580.1699996,581.185971,16,1,2,1,7,5,NA,NA,NA,NA,NA,NA,27052.36725,NA,NA,NA,NA,NA,NA,NA,NA,NA,25272.51055,NA,NA,18216.94867,26302.41741,31328.74308,NA,32100.8688,NA,55460.40742,25492.18857,33280.7904,24356.66105,NA,31895.28267,36831.7455,87600.05543,41056.64008,51017.3664
85,385.1538006,385.1508738,385.1621633,833.7242172,830.0350608,845.0877301,40,9,10,4,10,0,55210.42467,146623.7997,86324.64091,44968.82322,NA,49557.40267,59956.06257,92070.9504,137015.3657,179305.6364,22108.2576,19340.6928,57939.9007,29565.9936,15240.1392,40466.21333,20940.18105,43217.11882,70846.20326,62033.73771,98363.45909,135882.9908,116587.0992,87028.3001,194157.5048,110655.3463,233376.7923,100132.9045,183326.3545,275826.3603,NA,NA,NA,NA,NA
86,291.1601365,291.1596847,291.1605116,1083.231471,1082.905384,1084.359747,8,0,5,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61230.312,NA,71858.5296,149237.0063,123321.6183,NA,64142.7072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108109.0679,NA,229066.0944,374234.2032
87,382.0936889,382.0935961,382.093906,695.2352391,694.3299746,695.4434267,3,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32606.7456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,499.2757395,499.274918,499.2766962,631.5845168,630.954331,631.9110777,30,9,8,4,9,0,63647.379,217511.3783,166394.5296,75148.13426,67048.76127,157238.3591,84302.73078,248963.7177,NA,80576.906,67858.17143,NA,24566.32305,81614.94167,38862.5952,NA,43732.02443,69056.78762,67008.4272,45113.99545,39276.09086,100905.2266,211373.0734,NA,44629.42273,66271.15455,148187.6885,66016.80638,52333.78783,205438.784,NA,NA,NA,NA,NA
89,473.2064768,473.203432,473.2188103,860.0777406,849.2119343,866.7533735,36,10,5,4,10,0,53786.45945,106139.8913,75392.92727,49382.35124,19263.31767,46300.51352,51018.67318,86447.2752,128548.8567,199812.1227,25247.30478,4549.017333,49328.27611,NA,NA,NA,NA,NA,77238.84253,1057.056,88396.1263,123565.0446,105352.7904,81557.84545,159965.8756,92103.824,234320.0045,71363.714,180992.6671,262573.024,NA,NA,NA,NA,NA
90,341.1276386,341.1265328,341.129118,810.129936,809.7964078,816.4748303,34,10,9,4,10,0,56349.13067,151984.8777,74980.42273,40587.42727,21248.5887,46960.31364,55155.49545,94379.68957,130692.294,144864.5621,20511.122,NA,43038.12678,28833.00661,14262.0192,29993.94491,21007.91632,39350.6,61731.7301,52459.40981,90774.1558,112604.2834,105492.816,83243.25965,191708.879,104754.7746,205421.1002,106321.8232,153224.2519,251024.7168,NA,NA,NA,NA,NA
91,295.1583407,295.1578877,295.1591025,1432.592994,1430.173777,1434.982723,19,6,9,3,1,0,446845.994,228789.4752,218772.7412,228386.9305,NA,202122.1488,NA,NA,224498.5617,NA,151136.4012,192577.5588,141786.47,NA,131928.8256,237164.928,60800.40248,236224.0701,140090.808,182557.0032,NA,NA,173628.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,333.0041155,333.0032125,333.0053209,607.4985353,607.0168305,607.806797,19,2,9,2,5,1,NA,NA,NA,822.9136667,12530.57067,NA,NA,NA,NA,NA,NA,3474.868308,4042.2096,5198.443778,4323.6336,16485.2688,4092.2265,14153.31568,6262.671176,3678.060333,12126.23683,NA,13848.12,6584.870118,NA,NA,1019.4525,NA,4439.860174,NA,3002.794118,NA,NA,NA,NA
93,116.9283286,116.9278997,116.9287475,978.3984667,977.7829066,979.4429676,21,7,7,2,3,2,NA,78848.91224,NA,NA,71021.808,85488.12091,75658.39052,55241.60662,89207.28,74308.192,64261.73029,80074.54243,NA,78460.53809,NA,82973.46581,NA,105024.0048,64977.3696,68986.70794,69216.34091,NA,92513.89124,NA,NA,NA,NA,63776.90909,NA,NA,NA,134202.18,114414.545,NA,NA
94,383.1015438,383.0999608,383.1022192,642.374331,636.0318545,642.8357976,35,10,10,4,10,0,364060.1315,355495.1793,251506.7619,40865.64517,236797.7778,128482.2679,112160.4686,201360.0268,224525.4756,127546.8693,203197.889,181184.8807,290881.5198,136765.8748,131863.6176,290362.0166,89401.15156,131641.8986,366089.8592,176265.9336,45811.12118,57823.33422,66211.78188,82430.336,220632.5579,64627.41611,97178.56711,61751.09962,56196.17743,96597.66071,NA,NA,NA,NA,NA
95,116.9283098,116.9279055,116.9286946,1007.309839,1003.722594,1009.256735,24,6,8,2,4,1,NA,NA,69417.3175,NA,72387.44242,NA,27747.45733,57473.81148,69232.72733,61236.03267,85111.00592,89989.0992,NA,100574.6003,104099.7508,77957.2603,NA,90200.80993,66613.7472,71238.38057,83985.65126,NA,68963.54322,NA,NA,NA,84632.4336,63944.62229,NA,NA,NA,68951.85176,NA,NA,NA
96,327.1083355,327.1076966,327.1089181,523.8884032,523.1431894,524.3892456,7,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25899.24545,26357.02717,17438.44091,81230.6352,59618.23374,NA,42117.84025,NA,24980.1552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
